,TotalCoinsMined,TotalCoinSupply,CoinName,Class
HALLO,0.00026735498365459823,0.0015,Halloween Coin,0
XZC,7.64477326578056e-06,2.14e-05,ZCoin,2
CFC,0.00015022067624351898,3.9999898e-05,CoffeeCoin,0
ROYAL,2.5253641442697554e-06,2.500124e-06,RoyalCoin,0
GNJ,0.00010101121017516,9.999999999999999e-05,GanjaCoin V2,0
TEAM,1.799883162737528e-05,0.000301,TeamUP,0
LANA,0.0010931059908985078,0.007506,LanaCoin,0
ELE,2.6470500769759988e-05,2.6205539e-05,Elementrem,2
ZCL,5.670274745638833e-06,2.1e-05,ZClassic,2
ARK,0.00010929623796285102,0.000125,ARK,0
INSANE,1.8528262748666736e-05,3e-05,InsaneCoin,0
KLC,0.00019828299691049012,0.01,KiloCoin,2
ATX,0.0008323326789979977,0.0005,ArtexCoin,2
EMB,0.09312512499722704,0.00085,EmberCoin,0
XEN,3.892251219607147e-06,3.85332677707314e-06,XenixCoin,0
FRE,5.050558387524027e-05,4.9999999999999996e-05,FreeCoin,0
PLNC,1.7262376599622708e-05,3.854e-05,PLNCoin,0
ARCO,2.4743064059498467e-06,4.2e-05,AquariusCoin,0
KURT,6.198532384216967e-05,0.00022799999999999999,Kurrent,2
XCRE,2.0202208095288435e-05,1.9999999999999998e-05,Creatio,0
ENT,6.130817447836677e-06,6e-05,Eternity,0
EUC,1.2542074300456016e-05,1.9999999999999998e-05,Eurocoin,0
BCF,2.044869943142752e-05,3.3e-05,BitcoinFast,0
XSN,7.635473614706129e-05,7.65e-05,Stakenet,0
BCCOIN,1.1192734045396626e-05,2.8e-05,BitConnect Coin,0
MONEY,1.102474791110289e-05,0.000650659833,MoneyCoin,0
XNG,8.22866956988183e-07,4.9999999999999996e-06,Enigma,0
XCI,9.879940920632446e-07,2.1e-05,Cannabis Industry Coin,2
RC,8.462552033844294e-06,0.000144,Russiacoin,0
PND,0.034155080075394764,0.032514916898,PandaCoin,0
UNITS,3.5080612062000273e-06,1.3e-05,GameUnits,0
GAKH,3.349277577788236e-06,3.315789e-06,GAKHcoin,0
ASAFE2,1.0624091564757174e-05,1.5e-05,Allsafe,0
LTCR,3.053338648306851e-05,7.88352e-05,LiteCreed,0
OS76,9.030244364887856e-07,2.714286e-06,OsmiumCoin,2
BIC,9.45166937098981e-06,2.4999999999999998e-05,Bikercoins,2
HXX,1.895076598604205e-06,9.999999e-06,HexxCoin,2
KED,2.4207680022731743e-05,0.0005,Klingon Empire Darsek,0
IOP,2.5515810848300206e-06,2.1e-05,Internet of People,0
KUSH,5.716282297716262e-06,9.354e-06,KushCoin,0
PRX,1.1941233107066495e-05,1.9999999999999998e-05,Printerium,0
PAC,0.0005424122767593174,0.09999999999999999,PacCoin,2
IMPCH,3.112530434702042e-07,2.1933333e-05,Impeach,0
CTL,1.1080203617022588e-05,0.000185,Citadel,2
ZBC,2.952126549266365e-06,5.5e-05,Zilbercoin,0
FRST,0.00011111233543514395,0.00011,FirstCoin,0
BVC,3.1467187028372516e-06,3.36e-06,BeaverCoin,2
FIND,1.4671691996262168e-05,1.4524851482699999e-05,FindCoin,0
VLTC,3.06927721385458e-05,0.001,VaultCoin,2
ZER,6.991606880143162e-06,1.7e-05,Zero,2
CHAT,0.001010112483573715,0.001,OpenChat,0
CDN,0.00010085303495353078,9.999999999999999e-05,Canada eCoin,2
ZOI,1.8733259530199216e-05,2.1e-05,Zoin,2
RNS,3.641488282863465e-05,3.4426423e-05,RenosCoin,0
DBIX,2.2554388447348865e-06,2.232901e-06,DubaiCoin,2
XVP,1.329581530346377e-05,9.999999999999999e-05,VirtacoinPlus,0
TAJ,1.230736649923973e-05,3.69e-05,TajCoin,0
IMX,0.00011174909809914192,0.00011,Impact,0
EB3,6.4744182567565e-05,0.004,EB3coin,2
ATMOS,0.0001122596585042139,0.00011029002999999999,Atmos,0
HPC,2.1738914513579824e-05,9.999999999999999e-05,HappyCoin,0
CXT,1.0225528698507492e-05,4.8252e-05,Coinonat,2
MCRN,0.00040548074292924503,0.00039999999999999996,MacronCoin,0
RAIN,0.00012289575426205164,0.0005,Condensate,0
IMS,5.423185059979209e-06,2.1212121e-05,Independent Money System,0
ARGUS,1.1598940316251253e-06,2.86e-05,ArgusCoin,0
LMC,5.050138383197423e-07,0.001,LomoCoin,0
PROC,0.000101562474035661,0.075,ProCurrency,0
XGR,1.7344985622223908e-05,3.9999999999999996e-05,GoldReserve,0
BENJI,2.0481099301609794e-05,3.55204e-05,BenjiRolls,2
GRW,0.00029811998901383135,0.002,GrowthCoin,0
ILC,0.00133107321342839,0.0025,ILCoin,2
PHR,1.1505367505890212e-05,3e-05,Phreak,0
DEA,2.1574712631564118e-05,0.000105,Degas Coin,0
HTML5,0.041070185354394564,0.09,HTML5 Coin,0
USC,1.0447665574437378e-05,0.0002000842,Ultimate Secure Cash,0
EQT,1.3811636685882888e-05,7.2e-05,EquiTrader,2
QTUM,0.00010101121017516,9.999999999999999e-05,QTUM,0
QRL,6.973410292439654e-05,0.000105,Quantum Resistant Ledger,2
ESP,0.023032467461920655,0.049999999999999996,Espers,0
DYN,1.9984250712738026e-05,0.0,Dynamic,2
NANO,0.00013459573144297484,0.000340282367,Nano,2
CHAN,1.859336055000138e-05,3e-05,ChanCoin,2
DCY,0.0018277653841021488,0.002,Dinastycoin,2
DNR,4.21352278424478e-06,9.999999999999999e-06,Denarius,0
DP,3.549427637356498e-05,9.999999999999999e-05,DigitalPrice,2
VUC,6.357853594515095e-05,0.00012,Virta Unique Coin,0
BTPL,6.873128862948033e-06,9.999999999999999e-05,Bitcoin Planet,0
UNIFY,1.8316524981192004e-05,1.9276799999999998e-05,Unify,2
BRIT,2.1483123708606792e-05,3e-05,BritCoin,0
SOCC,5.219991834361899e-06,7.5e-05,SocialCoin,2
ARC,2.6305676035663084e-05,6e-05,ArcticCoin,2
DAS,2.6493675781863705e-06,1.89e-05,DAS,2
LINDA,0.009136398000134972,0.049999999999999996,Linda,0
XLC,1.4304972176342188e-05,5.4e-05,LeviarCoin,2
ONION,2.213861203943481e-05,1.88981876216583e-05,DeepOnion,0
BTX,1.79818445601243e-05,2.1e-05,Bitcore,2
GCN,0.16470399637021482,0.19999999999999998,gCn Coin,2
SMART,0.0022636713700820437,0.005,SmartCash,2
SIGT,0.00010906460097861412,0.0001375,Signatum,0
ONX,0.00012371413404244978,0.0011,Onix,2
CRM,4.781040413584817e-05,9.999999999999999e-05,Cream,0
BCH,1.8177528090389545e-05,2.1e-05,Bitcoin Cash,2
XMCC,1.2696327105426492e-05,9.507271e-06,Monoeci,0
DFT,1.8851988003957774e-05,1.740589119707116e-05,Draftcoin,0
VET,0.05601552220497439,0.086712634466,Vechain,3
SOJ,4.900783145103299e-07,0.0105,Sojourn Coin,2
STCN,4.040407679314124e-06,6.1599965e-05,Stakecoin,0
NYC,0.14445282836496898,0.0,NewYorkCoin,2
FRAZ,9.802131952335057e-06,1.9999999999999998e-05,FrazCoin,2
KRONE,1.7630208474200687e-05,8.4e-05,Kronecoin,2
ACC,3.2976829554994085e-05,9.999999999999999e-05,AdCoin,2
LINX,3.405744282107109e-05,9.999999999999999e-05,Linx,2
XCXT,1.9737140166968463e-05,4.8252e-05,CoinonatX,0
ETHD,4.242430184513802e-06,4.2e-06,Ethereum Dark,0
SUMO,9.037083836381659e-06,8.8888888e-05,Sumokoin,2
ODN,2.525277072528041e-05,9.1388946e-05,Obsidian,0
ADA,0.026189258670453058,0.045,Cardano,0
REC,7.335800847435647e-06,2.7e-05,Regalcoin,0
BTCZ,0.005264255183404156,0.021,BitcoinZ,2
TZC,0.0001844852931436257,0.00039999999999999996,TrezarCoin,0
ELM,0.002730188324649383,0.0018,Elements,2
TER,1.1522282036277493e-06,1.5733333e-05,TerraNovaCoin,0
VIVO,4.2080536057275544e-06,2.7e-05,VIVO Coin,2
RUP,2.4242658199282013e-05,2.4e-05,Rupee,0
BTG,1.7376277988060767e-05,2.1e-05,Bitcoin Gold,2
WOMEN,0.048949520086634876,0.024999999999999998,WomenCoin,0
MAY,9.298162368349356e-05,9.999999999999999e-05,Theresa May Coin,0
NAMO,0.0005662318877113143,0.0012,NamoCoin,0
LUX,8.389725261934065e-06,6e-05,LUXCoin,0
PIRL,3.433063179417746e-05,0.00015630673271,Pirl,2
XIOS,2.171384351108982e-06,2.1e-05,Xios,0
BTDX,3.102207945790435e-05,0.00019999999999999998,Bitcloud 2.0,0
EBST,0.00010100111055846874,9.999999999999999e-05,eBoost,2
KEK,1.2455459479832744e-05,2.1e-05,KekCoin,0
BLHC,1.6527969228952047e-05,1.4788275991e-05,BlackholeCoin,0
XIN,0.009091012681459745,0.009,Infinity Economics,0
PURA,0.00017698769150478906,0.00035,Pura,2
INN,6.439686588109045e-06,4.4999999999999996e-05,Innova,2
ELLA,1.2885323668253108e-05,0.00028,Ellaism,2
GBX,5.8912438052245976e-06,3.18e-05,GoByte,2
MAG,3.8584836692894136e-05,0.000144,Magnet,0
TAU,0.0002910038484228817,0.0005,Lamden Tau,0
ECA,0.028686337310386032,0.03,Electra,0
BCD,0.0001853899750634157,0.00021,Bitcoin Diamond,0
XSH,0.00048660203702011835,0.00066,SHIELD,2
CNBC,0.0001120991924368031,0.00021,Cash & Back Coin,0
XUN,0.019476809291408066,0.08499999999999999,UltraNote,2
COAL,4.545463942313321e-06,1.2499999999999999e-05,BitCoal,2
DAXX,0.0005261592692429206,0.01,DaxxCoin,2
BWK,1.3381098896885897e-05,2.7716120999999998e-05,Bulwark,0
KLKS,1.712718809077933e-05,1.9999999999999998e-05,Kalkulus,0
AC3,8.112836430670049e-05,0.00055,AC3,2
LTHN,0.0004457123454091431,0.000999481516,Lethean,2
GER,0.004961167901150851,0.049999999999999996,GermanCoin,0
LTCU,8.504501321182602e-06,0.00015,LiteCoin Ultra,0
POP,0.00400428929463865,0.004999999999,PopularCoin,2
