,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,Class,CoinName
FRAZ,Scrypt,PoW,9704042.0,20000000.0,-0.1685080190432686,-1.1584093071001826,0.016446333990823896,2,FrazCoin
KRONE,Scrypt,PoW,17453749.4042601,84000000.0,-0.16795975398090668,-1.1584351794796666,0.016433409505699565,2,Kronecoin
ACC,Scrypt,PoW,32646731.063036,100000000.0,-0.16766075721931706,-1.158435738460202,0.016423038367542723,2,AdCoin
LINX,Scrypt,PoW,33716526.0,100000000.0,-0.16764768855283924,-1.1584352615627282,0.016422462129579492,2,Linx
XCXT,Scrypt,PoW/PoS,19539588.0,48252000.0,-0.3331184554460664,0.8947233843390434,-0.47937543459822995,0,CoinonatX
ETHD,Scrypt,PoW/PoS,4200000.0,4200000.0,-0.33361805919337534,0.8947367323884227,-0.4793611491885593,0,Ethereum Dark
SUMO,CryptoNight,PoW,8946653.0,88888888.0,0.30231781837956306,-2.229076692065826,0.3738838226566509,2,Sumokoin
ODN,SHA-512,PoS,25000000.0,91388946.0,-0.32538342477714466,1.4632026638739313,-0.19377483303142676,0,Obsidian
ADA,Ouroboros,PoS,25927070538.0,45000000000.0,0.6673746590095985,1.5631798728921975,-0.20602817806624954,0,Cardano
REC,X11,PoW/PoS,7262402.04264803,27000000.0,-0.3922959236521283,1.1353292404255968,-0.3730735198509954,0,Regalcoin
BTCZ,Equihash,PoW,5211553258.01514,21000000000.0,0.057377004023347424,-1.8636554035213935,0.35075626617969186,2,BitcoinZ
TZC,NeoScrypt,PoW/PoS,182638400.0,400000000.0,-0.3443034529670383,0.41116541834338177,-0.22252768824153005,0,TrezarCoin
ELM,X11,PoW,2702855668.85288,1800000000.0,-0.18186962646514154,-0.9174228118152398,0.12104471808483862,2,Elements
TER,Scrypt,PoW/PoS,1140734.91680375,15733333.0,-0.33357368985912306,0.8947300836338026,-0.4793610781867445,0,TerraNovaCoin
VIVO,NeoScrypt,PoW,4165967.57499639,27000000.0,-0.18419646344032226,-1.6418844729339188,0.2734320498491353,2,VIVO Coin
RUP,Lyra2REv2,PoS,24000000.0,24000000.0,-0.30173442495755554,0.823900943092568,-0.13691522476283813,0,Rupee
BTG,Equihash,PoW,17202361.088994,21000000.0,-0.15476421879808722,-1.8563576385058653,0.35642244287743596,2,Bitcoin Gold
WOMEN,Scrypt,PoW/PoS,48459472454.0,25000000000.0,0.43546937503757355,0.9048833537757711,-0.5088787166928305,0,WomenCoin
MAY,SHA-256,PoW/PoS,92050800.0,100000000.0,-0.304786165048787,0.7572619386778128,-0.3597810071759627,0,Theresa May Coin
NAMO,NIST5,PoW/PoS,560563220.0,1200000000.0,-0.3394635563470537,1.450229733383946,-0.5123456496750447,0,NamoCoin
LUX,PHI1612,PoW/PoS,8305775.31777569,60000000.0,-0.40310898202533874,1.7969574906914811,-0.5038564000999775,0,LUXCoin
PIRL,Dagger,PoW,33986980.0,156306732.71,-0.15162263264430018,-2.181319044793269,0.4353774176304987,2,Pirl
XIOS,Scrypt,PoW/PoS,2149688.0,21000000.0,-0.33352403740937026,0.8947281200349092,-0.4793623417176547,0,Xios
BTDX,Quark,PoW/PoS,30711550.5294042,200000000.0,-0.39186466168358636,1.673613112364447,-0.45806811136365355,0,Bitcloud 2.0
EBST,Scrypt,PoW,99990001.493466,100000000.0,-0.16683808858407714,-1.1584057179072718,0.016386764360584113,2,eBoost
KEK,POS 2.0,PoS,12330806.30517,21000000.0,-0.3516250753352843,1.880202658637053,-0.4056181800001923,0,KekCoin
BLHC,Scrypt,PoW/PoS,16362544.992,14788275.991,-0.33339443750091174,0.894737302332007,-0.47936914810468356,0,BlackholeCoin
XIN,SHA-256,PoS,8999999990.0,9000000000.0,-0.09143760039164679,0.6860617441861033,-0.15763242290153165,0,Infinity Economics
PURA,X11,PoW,175215859.0,350000000.0,-0.22302414115984584,-0.9178851516723832,0.12260446027478611,2,Pura
INN,NeoScrypt,PoW,6375259.04,45000000.0,-0.18404190124278103,-1.64189173630699,0.2734283988473882,2,Innova
ELLA,Ethash,PoW,12756367.0,280000000.0,-0.15167154240362718,-1.9936827857271715,0.3950623934851517,2,Ellaism
GBX,NeoScrypt,PoW,5832306.875,31800000.0,-0.18414208778941463,-1.6418859296371417,0.27343049602476005,2,GoByte
MAG,X11,PoW/PoS,38198594.8342105,144000000.0,-0.39108877861806307,1.1352894177264057,-0.3731061798063974,0,Magnet
TAU,DPoS,DPoS,288090567.493887,500000000.0,3.732657433022351,1.8767248569693797,-0.5857005026927399,0,Lamden Tau
ECA,NIST5,PoW/PoS,28399150208.0,30000000000.0,0.2047313817213971,1.4494425464416676,-0.5312782907606416,0,Electra
BCD,X13,PoW/PoS,183534024.889807,210000000.0,-0.26541141102364946,1.6882309288030142,-0.5427297813172623,0,Bitcoin Diamond
XSH,Multiple,PoW,481730566.566176,660000000.0,-0.11530791552157364,-1.7186745000107575,0.314342469783533,2,SHIELD
CNBC,Scrypt,PoW/PoS,110976977.29338,210000000.0,-0.3308550774423612,0.8946900269813278,-0.47944680112280685,0,Cash & Back Coin
XUN,CryptoNight,PoW,19281821413.4924,85000000000.0,1.1395560738555475,-2.2593944423032406,0.351893467580949,2,UltraNote
COAL,CryptoNight,PoW,4500000.0,12500000.0,0.3017220984556618,-2.2290436702086267,0.37389666179695813,2,BitCoal
DAXX,Ethash,PoW,520891780.0,10000000000.0,-0.07657450696381778,-1.9979103166179666,0.39345975968669633,2,DaxxCoin
BWK,NIST5,PoS,13247178.8807286,27716121.0,-0.3130073763519661,1.379430011398947,-0.3037269546620886,0,Bulwark
KLKS,Quark,PoS,16955764.902064,20000000.0,-0.35185776085763804,1.6025965432605203,-0.2498724812896485,0,Kalkulus
AC3,X11,PoW,80316207.0,550000000.0,-0.22276595780637767,-0.918019103529202,0.12262823310520293,2,AC3
LTHN,CryptoNight-V7,PoW,441250233.377,999481516.0,-0.13986820009482803,-2.1033142650885903,0.3376866476152699,2,Lethean
GER,Scrypt,PoW/PoS,4911500269.41,50000000000.0,0.08067050845089606,0.8740144755307628,-0.4888399195530245,0,GermanCoin
LTCU,Scrypt,PoW/PoS,8419402.321,150000000.0,-0.3325331703399943,0.8946718025875271,-0.479383355892011,0,LiteCoin Ultra
POP,Scrypt,PoW,3964201248.87125,4999999999.0,-0.08490438707476523,-1.158928468521003,0.013635398686286562,2,PopularCoin
PNX,X11,PoW/PoS,45174214.1078625,50000000.0,-0.39166978069145286,1.1353356014874736,-0.37309708538517294,0,PhantomX
PHO,BLAKE256,PoW,30089671530.5228,90000000000.0,1.1053442028137968,-1.3206840125232282,0.06919077099013178,2,Photon
SUCR,X11,PoW,4229040.50393462,19800000.0,-0.22745318727328703,-0.9178100654833509,0.12274170653180386,2,Sucre
SPK,NeoScrypt,PoW,7847417.33355824,21000000.0,-0.18419401513494807,-1.641880082389204,0.27343088718775926,2,SparksPay
WAGE,Quark,PoS,27299680.0,120000000.0,-0.35102265805595334,1.6025553308575917,-0.24989172509062008,0,Digiwage
GUN,NeoScrypt,PoW,299797953.0,500000000.0,-0.17723266376371066,-1.64196943033732,0.2732081405110907,2,GunCoin
IRL,Scrypt,PoW,45483049.3398182,64000000.0,-0.16775909491015675,-1.158413519755061,0.016421046132690516,2,IrishCoin
TROLL,Scrypt,PoW/PoS,591022748.0,900000000.0,-0.3201005020327882,0.8945878411800368,-0.47979971222533396,0,Trollcoin
LCP,Scrypt,PoW/PoS,2504486.227718,4000000.0,-0.3336401891533569,0.8947360682026092,-0.4793602085670472,0,Litecoin Plus
MONK,X11,PoS,4407252.0,21000000.0,-0.3509226507331132,1.0642377976652435,-0.16490755082024022,0,Monkey Project
PCOIN,X11,PoW,8478104.33969947,23000000.0,-0.22737860079163663,-0.9178096376724039,0.12273898029386207,2,Pioneer Coin
